SN,Location ,PrimaryIP,PowerStatus,Environment,BkpPriority,VirtualPhysical,HostClientOperatingsystem,Application,CPU,RAM,Storage,LANports,LAN1x45,LAN2x46,LAN3x35
107,Rack-2-08.2,192.168.45.80,ON,Prod,P2,VM,Ubunut 20Lts,Docker Container_45.80,2,16GB,100GB,1,UP,,
108,Rack-2-08.3,OFF,OFF,Non-Prod,P3,VM,Linux,Domain Controler,2,8GB,100GB,1,UP,,
109,Rack-2-08.4,192.168.45.80,ON,Testing,P3,VM,Ubunut 20Lts,Linux-vm-45.192,2,8GB,200GB,1,UP,,
110,Rack-2-08.5,192.168.45.80,ON,Testing,P3,VM,Centos 7,Parocna-DB-testing-45.239,4,16GB,350GB,1,UP,,
111,Rack-2-08.6,192.168.45.125,ON,Non-Prod,P2,VM,Linux,Linux/Collaborate-SVN_45.125,1,4GB,600GB,1,UP,,
112,Rack-2-08.7,192.168.45.110,ON,Non-Prod,P3,VM,Ubuntu 14,R2/07/HP/ESXI/LINUX/NITI ERP_45.110,2,8GB,500GB,1,UP,,
113,Rack-2-08.8,OFF,OFF,Non-Prod,P3,VM,Ubuntu 14,R2/07/HP/ESXI/LINUX/NITI ERP_45.110,2,8GB,500GB,1,Down,,
114,Rack-2-08.9,OFF,OFF,Non-Prod,P3,VM,Ubuntu 14,R2/07/HP/ESXI/LINUX/NITI ERP_45.110,2,8GB,500GB,1,Down,,
115,Rack-2-08.10,OFF,OFF,Non-Prod,P3,VM,Ubuntu 14,R2/07/HP/ESXI/LINUX/NITI ERP_45.110,2,8GB,500GB,1,Down,,
116,Rack-2-08.11,192.168.45.253,OFF,Prod,P3,VM,Ubuntu 16.04,R2/09/TYRON/ESXI/Linux/FTP_253,4,4GB,253GB,1,UP,,
117,Rack-2-08.12,192.168.45.145,OFF,Prod,P3,VM,CentOS 8.0,R2/09/TYRON/ESXI/Linux/FTP_CentOS_45.145,1,4GB,500GB,1,Down,,
118,Rack-2-08.13,192.168.45.123,OFF,Prod,P3,VM,Debian,R2/09/TYRON/ESXI/Linux/FTP-OMV,1,4GB,32GB,1,Down,,
119,Rack-2-08.14,192.168.45.96_192.168.35.206,OFF,Prod,P3,VM,Ubuntu 16.04,R2/09/TYRON/ESXI/Linux/Nagios - Backup_45.96 /35.206,1,8GB,100GB,1,Down,,
120,Rack-2-08.15,192.168.45.162,OFF,Prod,P3,VM,Ubuntu 18.04,R2/09/TYRON/ESXI/Win/NITI_preprod_45.162,1,8GB,80GB,1,Down,,
121,Rack-2-08.16,192.168.45.229 ,ON,Prod,P3,VM,Windows 2016 STD,R2/09/TYRON/ESXI/Win/TMC_45.229,4,8GB,300GB,1,UP,,
122,Rack-2-08.17,192.168.45.153,OFF,Non-Prod,P3,VM,Windows 2016 STD,Win/Vent_45.153,4,4GB,100GB,1,UP,,
123,Rack-2-08.18,192.168.35.25,ON,Testing,P3,VM,Ubuntu 20 LTS,Ubunut-Wildfly-master-35.25,2,4GB,120GB,1,UP,,
124,Rack-2-08.19,192.168.35.26,ON,Testing,P3,VM,Ubuntu 20 LTS,Ubunut-Wildfly-master-35.26,2,4GB,120GB,1,UP,,
125,Rack-2-08.20,192.168.35.35,ON,Testing,P3,VM,Windows 2016 STD,Wilfly-test-win-master-35.35,2,4GB,120GB,1,UP,,
126,Rack-2-08.21,192.168.35.36,ON,Testing,P3,VM,Windows 2016 STD,Wilfly-test-win-master-35.36,2,4GB,120GB,1,UP,,
127,Rack-2-08.22,192.168.35.37,ON,Testing,P3,VM,Windows 2016 STD,Wilfly-test-win-master-35.37,2,4GB,120GB,1,UP,,
128,Rack-2-09,192.168.45.164,OFF,Host-ESXI,NA,Physical,VM-ESXI-6,Vmware Esxi,10x2 Intel�  Xeon� silver 4114 CPU @2.20GHz,128GB,12TB,4,UP,UP,
129,Rack-2-09.1,192.168.45.122,OFF,Prod,P3,VM,NA,Amrit Zenkins_45.122,4,8GB,208GB,1,UP,,
130,Rack-2-09.2,192.168.45.230,OFF,Non-Prod,NA,VM,Cent OS ,Bahmni DB Server_45.230,4,12GB,512GB,1,UP,,
131,Rack-2-09.3,192.168,OFF,Dev,NA,VM,Windows 2016 STD,Bayer_AMRIT_Server,4,16GB,265GB,1,UP,,
132,Rack-2-09.4,192.168.45.199,OFF,Prod,P3,VM,Ubuntu,Bhamni DB Storage,2,8GB,508GB,1,UP,,
