SN,Location ,Primary IP,Power Status,Environment,Bkp Priority,Virtual/Physical,Host/ Client Operating system,Application,CPU,RAM,Storage,LAN ports,LAN 1-45,LAN 2-46
12,Rack-1-03,192.168.35.223,ON,Prod,P1,Physical,Windows 2016 STD,Swymed UAT,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
13,Rack-1-04,192.168.45.60,ON,Prod,P2,Physical,Windows 2016 STD,AMRIT,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
14,Rack-1-05,192.168.45.55,ON,Prod,P1,Physical,Czentrix-UAT,C-Zentrix,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
15,Rack-1-06,192.168.45.205,ON,Host,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
16,Rack-1-6.1,192.168.45.150,ON,Prod,P2,VM,Win 2016 Std,Piramal Foundation ROOT Domain,4,8GB,250GB,1,UP,
17,Rack-1-6.3,192.168.45.151,ON,Prod,P2,VM,Win 2016 Std,DBC-CDC,4,6GB,250GB,1,UP,
18,Rack-1-6.3,192.168.45.152,ON,Prod,P2,VM,Win 2016 Std,ADC-CDC,2,6GB,250GB,1,UP,
19,Rack-1-6.3,192.168.45.153,ON,Prod,P2,VM,Win 2016 Std,THC-CDC,2,6GB,250GB,1,UP,
20,Rack-1-07,192.168.45.206,ON,Host,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
21,Rack-1-7.1,192.168.45.144,ON,Dev,P2,VM,Ubuntu 18,ILMS Dev Serv Docker,4,10GB,500GB,1,UP,
22,Rack-1-7.1,192.168.45.70,ON,Dev,P2,VM,Win 2016 Std,ECD-Demo-45.70,4,24GB,500GB,1,UP,
23,Rack-1-08,192.168.35.239,ON,Prod,P1,VM,Centos7,Czentrix-1097,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
24,Rack-1-09,192.168.45.207,ON,Host,NA,Physical,Windows 2016 DC,Windows Hyper-V,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
25,Rack-1-9.1,192.168.45.27,ON,Non-prod,P3,VM,Ubuntu 20 LTS,Samba_Share-Presales-and-Promethoues-Grafana-_45.27,3,6GB,127+500GB,1,UP,
26,Rack-1-9.2,192.168.45.68,OFF,Non-prod,P3,VM,Centos-7,centos7-Thehive-SOC-security_45.68,2,4GB,150GB,1,UP,
27,Rack-1-9.3,192.168.45.139,ON,Non-prod,P2,VM,Ubuntu 22 LTS,Zabbix-Monitoring-45.139,2,4GB,200GB,1,UP,UP
28,Rack-1-9.3,192.168.45.134,ON,Non-prod,P2,VM,Windows 2016 STD,Veeam-Backup_Primary_45.134,4,16GB,250GB,1,UP,UP
29,Rack-1-10,192.168.45.246,ON,Host,NA,Physical,Windows 2016 Std,Windows Hyper-V,16x2CPUs Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,48GB,1.6 TB,4,UP,UP
30,Rack-1-10.2,192.168.45.74,ON,Prod,P1,VM,Windows 2016 STD,Sanofi_MUFG_Server_New,4,16GB,500GB,1,UP,
31,Rack-1-10.3,192.168.45.178,ON,Prod,P1,VM,Windows 2016 STD,STFC AMRIT_New,4,24GB,500GB,1,UP,
32,Rack-1-11,192.168.46.91,ON,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,6x2 CPU Intel® Xeon® CPU E5-2630 v2 @ 2.60GHz,64GB,1.8 TB,4,UP,UP
33,Rack-1-11.1,192.168.45.82_45.22,ON,Dev,P3,VM,Windows 2016 STD,ESXI/Win/AMRIT Server_45.82_45.22,8,16GB,516GB,1,UP,
34,Rack-1-11.2,192.168.45.236,OFF,Non-prod,P3,VM,Windows 2016 STD,ESXI/Win/iEMR Server_45.236_46.18,1,250MB,741GB,2,Down,Dowm
35,Rack-1-11.3,192.168.45.24,ON,Prod,P3,VM,Ubuntu 14,NITI_ERP_testing_45.24,2,8GB,1024GB,1,UP,
36,Rack-1-12,192.168.46.94,ON,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,6x2 CPU Intel® Xeon® CPU E5-2630 v2 @ 2.60GHz,36GB,1.8 TB,4,UP,UP
37,Rack-1-12.1,192.168.45.121,ON,DEV,P3,VM,Ubuntu-18,Gitlab_Production_45.121,4,4GB,204GB,1,UP,
38,Rack-1-12.2,192.168.35.213,OFF,Non-prod,P3,VM,Ubuntu-18,ESXI/Ubuntu/PSMRI OTRS Pro Live_35_213,1,8GB,408GB,1,UP,
39,Rack-1-12.3,192.168.45.,ON,Non-prod,P3,VM,Ubuntu-18,ESXI/Ubuntu/PSMRI SFTP,1,4GB,104GB,1,UP,
40,Rack-1-12.4,192.168.35.182,ON,Non-prod,P3,VM,Win 7,ESXI/Win7/ERP_DASHBOARD_35.182,4,4GB,68GB,1,UP,
41,Rack-1-12.5,192.168.45.12,ON,Prod,P2,VM,Windows 2016 STD,ESXI/Win/MHS & Araku  Backups Server_45.12,4,8GB,679GB,1,UP,
42,Rack-1-12.5,192.168.45.153,OFF,Prod,NA,VM,Windows 2016 STD,VM-Vcenter-45.153-New,4,8GB,679GB,1,UP,
43,Rack-1-13,192.168.46.93,OFF,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,6x2 CPU Intel® Xeon® CPU E5-2630 v2 @ 2.60GHz,36GB,1.8 TB,4,UP,UP
44,Rack-1-13.1,192.168.35.104,OFF,Non-Prod,NA,VM,Ubuntu 14.01 64-bit,ESXI/Linux/APERP-Bkpsrv-35.104,,,,,,
45,Rack-1-13.2,192.168.45.213,OFF,Non-Prod,NA,VM,Ubuntu 9.10 32-bit,ESXI/SVN Production Server_45.213,,,,,,
46,Rack-1-13.3,192.168.46.13,OFF,Non-Prod,NA,VM,CentOS 6.2 32-bit,ESXI/CC Location DB_46.13,,,,,,
47,Rack-1-13.4,192.168.45.15,OFF,Non-Prod,NA,VM,Windows 2016 STD,ESXI/Win/Digwal_UAT_45.15,,,,,,
48,Rack-1-14,192.168.46.92,ON,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,6x2 CPU Intel® Xeon® CPU E5-2630 v2 @ 2.60GHz,36GB,1.8 TB,4,UP,UP
49,Rack-1-14.1,192.168.45.14,ON,Prod,P1,VM,Ubuntu-14,Linux/ERP Pro Live_35.226/45.14,12,16GB,1.2TB,2,UP,Down
50,Rack-1-16.5,192.168.35.110,ON,Prod,P1,VM,Ubuntu-20,GR (Greviance 1097-Ahex),2,8GB,255GB,1,UP,
51,Rack-1-14.3,192.168.46.118,OFF,Non-Prod,P3,VM,Windows 2016 STD,Nginx-Reverse-proxy-testing,4,4GB,104GB,1,Down,
52,Rack-1-14.4,192.168.45.216,OFF,Dev,P3,VM,Windows 2016 STD,ESXI/WIN/WIN-CC DB clone-July 2018_45.216,2,4GB,297GB,1,Down,
53,Rack-1-15,192.168.45.245,ON,Prod,P2,Physical,Windows 2016 DC,AMRIT,Intel®  Xeon® CPU E5-2620 v4 @2.10GHz,64 GB,16TB,4,UP,UP
54,Rack-1-16,192.168.46.97,ON,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,10x2 CPU Intel®  Xeon® CPU E5-2620 v4 @2.10GHz,128 GB,12TB,4,UP,UP
55,Rack-1-16.1,192.168.45.65,OFF,Dev,P3,VM,Windows 2016 STD,Amrit Demo Server45.65,1,8MB,48GB,1,Down,
56,Rack-1-16.2,192.168.45.74,ON,Prod,P1,VM,Windows 2016 STD,Bayer-Live-Prod-45.74,6,18GB,930GB,1,UP,
57,Rack-1-16.2,192.168.45.64,ON,Dev,P2,VM,Windows 2016 STD,Clone copy of demoserver 45.63 / 45.64 (UAT-64),8,18GB,756GB,1,UP,
58,Rack-1-16.5,192.168.46.209,ON,Prod,P2,VM,Ubuntu ,CMIAPI_46.209,1,8GB,635G,1,UP,
59,Rack-1-16.5,192.168.45.,ON,Prod,P3,VM,CentOS-6,DBReplication_server,2,8GB,508GB,1,UP,
60,Rack-1-16.5,192.168.45.54,ON,Prod,P2,VM,Ubuntu-20,GR Dev Server_45.54,2,8GB,208GB,1,UP,
61,Rack-1-16.6,192.168.45.10,ON,Dev,P2,VM,Windows 2016 STD,HelpageAMRITServer45.10,4,12GB,192GB,1,UP,
62,Rack-1-16.7,192.168.45.71,ON,Dev,P2,VM,Windows 2016 STD,HWC Pre Production 45.71,4,8GB,288GB,1,UP,
63,Rack-1-16.8,192.168.45.99,ON,Prod,P2,VM,Ubuntu,Mobile_APA_Ahex_45.99,2,8GB,681GB,1,UP,
64,Rack-1-16.9,192.168.46.208,ON,Prod,P1,VM,Windows 2016 STD,SHS Bihar_46.208,6,8GB,336GB,1,UP,
65,Rack-1-16.10,192.168.45.16,ON,Prod,P3,VM,CentOS 7 Core,ESXI/LINUX/CC_DB_Location_45_119,2,2GB,102GB,2,UP,UP
66,Rack-1-16.11,192.168.46.175,ON,Non-Prod,P2,VM,Ubuntu 16.04,ESXI/Linux/ERP Pro Live_45.226 testing server46.175,12,16GB,1.2TB,2,UP,UP
67,Rack-1-16.12,192.168.46.28,ON,Non-Prod,P3,VM,Ubuntu 16.04,ESXI/LINUX/SMB server_45.252/46.28,4,8GB,4.11TB,2,UP,UP
68,Rack-1-16.13,192.168.46.19,ON,Non-Prod,P3,VM,Windows 2016 STD,ESXI/Win/iMER_45.160,6,8GB,508GB,2,UP,UP
69,Rack-1-16.14,192.168.46.20 ,OFF,Prod,P3,VM,Windows 2016 STD,R2/01/DellEMC/ESXI/Win/Sanjeevani Bkp_45.17,1,256MB,150GB,1,UP,
70,Rack-1-16.15,192.168.45.115,ON,Prod,P3,VM,Windows server 2008R2,ESXI/WIN/Tableau Reports 45.115,2,4GB,504GB,1,Down,
71,Rack-2-01,192.168.45.132,ON,Prod,P2,Physical,Ubunut 20Lts,WIPRO Testing Master,16x2 CPU Intel® Silver 4208 @2.10GHz,64GB,12TB,4,UP,Down
72,Rack-2-02,192.168.46.96,ON,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,10x2 CPU Intel®  Xeon® Silver 4114 @2.20GHz,64GB,12TB,4,UP,Down
73,Rack-2-02.1,192.168.35.219,ON,Prod,P1,VM,Cent OS 6 (64 Bit),1097 DBReplication_35.219,4,8GB,508GB,1,,
74,Rack-2-02.2,192.168.45.57,OFF,Non-Prod,P3,VM,Windows 2016 STD,192.168.45.57 P2V copy2,1,1GB,1.6TB,1,Down,
75,Rack-2-02.3,192.168.35.116,OFF,Prod,P3,VM,Ubuntu Linux,ADTSERVER 35.116 p2v 25012020,1,1GB,3.3TB,1,Down,
76,Rack-2-02.4,192.168.46.209,OFF,Prod,P2,VM,Ubuntu Linux,CM API Production 35.236/ 46.209,2,1GB,508GB,1,Down,
77,Rack-2-02.5,192.168.35.184,ON,Non-prod,P3,VM,Ubuntu Linux,Linux/Jira-Service-Magement_35.184,4,6GB,306GB,2,UP,
78,Rack-2-02.6,192.168.35.249,ON,Prod,P3,VM,Ubuntu Linux,Linux/NITI ADT Replication 35.249,2,10GB,1.1TB,1,,
79,Rack-2-02.7,192.168.35.244,ON,Prod,P3,VM,Ubuntu Linux,Linux/NITI_DASHBOARD_35.244,16,16GB,1TB,1,,
80,Rack-2-02.8,192.168.35.246,ON,Prod,P3,VM,Ubuntu Linux,Linux/Yatharth Project_35.246,16,16GB,1TB,1,,
81,Rack-2-02.9,192.168.35.247,ON,Non-Prod,P3,VM,Windows 2016 STD,Win/AP-MMU DB REPLICATION-35.247,16,16GB,2TB,1,,
82,Rack-2-02.10,OFF,OFF,Non-Prod,P3,VM,Windows 2016 STD,Win/PACS Server,4,1GB,1TB,1,Down,
83,Rack-2-03,192.168.46.98,ON,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,10x2 CPU Intel®  Xeon®Silver 4114 @2.20GHz,128GB,12TB,4,UP,UP
84,Rack-2-03.1,192.168.45.63,ON,Prod,P3,VM,Windows 2016 STD,HWC1.0_45.63,6,12GB,1.5TB,2,UP,
85,Rack-2-03.2,192.168.45.105,ON,Dev,P2,VM,Ubuntu 18.04 64bit,iLMS Dev Server_45.105,8,32GB,562GB,1,UP,
86,Rack-2-03.3,192.168.45.29,ON,Prod,P1,VM,Ubuntu Linux,MDMS_Ubuntu 45.29,12,16GB,1.3TB,1,UP,
87,Rack-2-03.4,OFF,OFF,Non-Prod,P3,VM,Ubuntu 14,OldNITI ERP_45.110,2,1GB,500GB,1,Down,
88,Rack-2-03.5,192.168.45.84,ON,Prod,P2,VM,Windows Server 2012,Win/AMRIT Server_45.84 clone-45.19,6,16GB,221GB,1,UP,
89,Rack-2-03.6,192.168.45.49,OFF,Non-Prod,P3,VM,Ubuntu 18,Linux/SnipIT_45.49/35.49,1,256MB,437GB,1,Down,
90,Rack-2-03.7,192.168.45.166,ON,Prod,P1,VM,Windows 2016 STD,Win/APL_45.166,16,20GB,1TB,1,UP,
91,Rack-2-03.8,192.168.45.109,ON,Prod,P1,VM,Windows 2016 STD,Win/Araku_45.109,4,16GB,376GB,1,UP,
92,Rack-2-03.9,192.168.45.243,ON,Non-Prod,P3,VM,Windows 2016 STD,Win/Dashboard_45.243,1,8GB,188GB,1,UP,
93,Rack-2-03.10,192.168.45.52,OFF,Prod,P2,VM,Windows server 2008 R2,Win/DB Server_45.52,1,1GB,1.24TB,1,Down,
94,Rack-2-03.11,192.168.45.201,ON,Prod,P3,VM,Windows Server 2012,Win/DC_45.201,2,4GB,257GB,1,Down,
95,Rack-2-03.12,192.168.45.176,ON,Non-Prod,P3,VM,Windows 2016 STD,Win/DESH_45.176,4,1GB,373GB,1,UP,
96,Rack-2-03.13,192.168.45.59,OFF,Non-Prod,P3,VM,Windows 2016 STD,Win/Ujjivan_45.59,4,1GB,181GB,1,Down,
97,Rack-2-03.14,192.168.45.81,OFF,Non-Prod,P3,VM,Windows 2016 STD,Win/Umeed_45.81,4,1GB,373GB,1,Down,
98,Rack-2-03.15,192.168.35.220,ON,Prod,P3,VM,Ubuntu 14.01 64-bit,LINUX/NITI ERP_35.187,2,8GB,1TB,1,,
99,Rack-2-04,192.168.46.95,ON,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,10x2 CPU Intel®  Xeon® Silver 4114 @2.20GHz,48GB,12TB,4,UP,Down
100,Rack-2-04.1,192.168.45.131,ON,Prod,P2,VM,Windows 2016 STD,BPL-BPSL-Jharkan Live_45.131,4,16GB,500GB,1,UP,
101,Rack-2-04.3,192.168.45.62,ON,Dev,P3,VM,Ubuntu 14 Lts,R2/01/DellEMC/ESXI/Linux/ERP Pro testing server46.174_bkp,4,8MB,1TB,1,UP,
102,Rack-2-05,192.168.45.232,ON,Host,NA,Physical,Windows 2016 Std,Windows Hyper-V,,64GB,"600*2, 2.4TB*6",4,Down,Down
103,Rack-2-05.1,192.168.45.33,ON,Non-Prod,P2,VM,Ubuntu 22.04,Jira Confuence-KMS_45.33,2,8GB,400GB,1,UP,
104,Rack-2-05.2,192.168.45.34,ON,Non-Prod,P2,VM,Ubuntu 22.04,Jira DB_45.34,2,16G,400GB,1,UP,
105,Rack-2-05.3,192.168.45.35,ON,Non-Prod,P2,VM,Ubuntu 22.04,Jira -Core_Service-Mgr_45.35,2,4GB,400GB,1,UP,
106,Rack-2-04.7,192.168.45.11,ON,Prod,P3,VM,CentOS,Linux/NAS-45.11,4,4GB,6TB,1,UP,
107,Rack-2-05.4,192.168.45.39,ON,Non-Prod,P2,VM,Ubuntu 22.04,Jira-new_45.39,2,4GB,400GB,1,UP,
108,Rack-2-05.5,192.168.45.36,ON,Non-Prod,P2,VM,Ubuntu 22.04,test-vm_SSO_45.36,2,4GB,400GB,1,UP,
109,Rack-2-06,192.168.45.234,ON,Prod,P3,Physical,Windows 2016 STD,OLD DB backup Server,10x2 CPU Intel®  Xeon® silver 4114 CPU @2.20GHz,64GB,1.2TB,4,UP,Down
110,Rack-2-07,192.168.45.242,ON,Prod,P3,Physical,Windows 2016 STD,Swymed,Intel®  Xeon® silver 4114 CPU @2.20GHz,128GB,2.4TB*6,4,UP,Down
111,Rack-2-08,192.168.45.161,ON,Host,NA,Physical,Windows 2016 Std,Windows Hyper-V,10x2 Intel®  Xeon® silver 4114 CPU @2.20GHz,128GB,12.TB,4,UP,Down
112,Rack-2-08.1,192.168.45.79,OFF,Prod,P3,VM,Linux,API tsting _45.79,2,16GB,500GB,1,Down,
113,Rack-2-08.2,192.168.45.80,ON,Prod,P2,VM,Linux,Docker Container_45.80,2,16GB,100GB,1,UP,
114,Rack-2-08.3,192.168.45.125,ON,Non-Prod,P2,VM,Linux,Linux/Collaborate-SVN_45.125,1,4GB,600GB,1,UP,
115,Rack-2-08.4,192.168.45.110,ON,Non-Prod,P3,VM,Linux,R2/07/HP/ESXI/LINUX/NITI ERP_45.110,2,8GB,500GB,1,UP,
116,Rack-2-08.5,192.168.45.253,OFF,Prod,P3,VM,Ubuntu 16.04,R2/09/TYRON/ESXI/Linux/FTP_253,4,4GB,253GB,1,UP,
117,Rack-2-08.6,192.168.45.145,OFF,Prod,P3,VM,CentOS 8.0,R2/09/TYRON/ESXI/Linux/FTP_CentOS_45.145,1,4GB,500GB,1,Down,
118,Rack-2-08.7,192.168.45.239,ON,Testing,P3,VM,CentOS 7.0,Parcona-DB-Testing_45.239,4,16GB,350GB,1,Down,
119,Rack-2-08.8,192.168.45.123,OFF,Prod,P3,VM,Debian,R2/09/TYRON/ESXI/Linux/FTP-OMV,1,4GB,32GB,1,Down,
120,Rack-2-08.9,192.168.45.96_192.168.35.206,OFF,Prod,P3,VM,Ubuntu 16.04,R2/09/TYRON/ESXI/Linux/Nagios - Backup_45.96 /35.206,1,8GB,100GB,1,Down,
121,Rack-2-08.10,192.168.45.162,OFF,Prod,P3,VM,Ubuntu 18.04,R2/09/TYRON/ESXI/Win/NITI_preprod_45.162,1,8GB,80GB,1,Down,
122,Rack-2-08.11,192.168.45.229 ,ON,Prod,P3,VM,Windows 2016 STD,R2/09/TYRON/ESXI/Win/TMC_45.229,4,8GB,300GB,1,UP,
123,Rack-2-08.12,192.168.45.153,OFF,Non-Prod,P3,VM,Windows 2016 STD,Win/Vent_45.153,4,4GB,100GB,1,UP,
124,Rack-2-08.13,NA,OFF,Non-Prod,P3,VM,Ubuntu 14,R2/07/HP/ESXI/LINUX/NITI ERP_45.110,2,8GB,500GB,1,Down,
125,Rack-2-08.14,NA,OFF,Non-Prod,P3,VM,Ubuntu 14,R2/07/HP/ESXI/LINUX/NITI ERP_45.110,2,8GB,500GB,1,Down,
126,Rack-2-08.15,NA,ON,Non-Prod,P3,VM,Ubuntu 14,R2/07/HP/ESXI/LINUX/NITI ERP_45.110,2,8GB,500GB,1,Down,
127,Rack-2-08.16,OFF,OFF,Non-Prod,P3,VM,Linux,Domain Controler,2,8GB,100GB,1,Down,
128,Rack-2-09,192.168.45.164,OFF,Host,NA,Physical,VM-ESXI-6,Vmware Esxi,10x2 Intel®  Xeon® silver 4114 CPU @2.20GHz,128GB,12TB,4,UP,UP
129,Rack-2-09.1,192.168.45.122,OFF,Prod,P3,VM,NA,Amrit Zenkins_45.122,4,8GB,208GB,1,UP,
130,Rack-2-09.2,192.168.45.230,OFF,Non-Prod,NA,VM,Cent OS ,Bahmni DB Server_45.230,4,12GB,512GB,1,UP,
131,Rack-2-09.3,192.168,OFF,Dev,NA,VM,Windows 2016 STD,Bayer_AMRIT_Server,4,16GB,265GB,1,UP,
132,Rack-2-09.4,192.168.45.199,OFF,Prod,P3,VM,Ubuntu,Bhamni DB Storage,2,8GB,508GB,1,UP,
133,Rack-2-09.5,192.168.45.140,OFF,Prod,P3,VM,Cent OS ,eSanjeevani_DataStorage_45.140,4,4GB,216GB,1,UP,
134,Rack-2-09.6,192.168.45.190,OFF,Prod,P3,VM,Cent OS ,Jira Service Manager,8,16GB,632GB,1,UP,
135,Rack-2-09.7,OFF,OFF,Prod,P3,VM,Ubuntu Linux,MobileAPI Ahex 99 Clone 13March2022,1,1GB,301GB,1,Down,
136,Rack-2-09.8,OFF,OFF,Prod,P3,VM,Ubuntu Linux,CMIAPI Clone 13March 2022,1,1GB,301GB,1,Down,
137,Rack-2-09.9,OFF,OFF,Non-Prod,NA,VM,Ubuntu Linux,ERP Backup 24062022,4,1GB,1.2TB,1,Down,
138,Rack-2-09.10,OFF,OFF,Prod,P3,VM,Ubuntu Linux,,,,,,,
139,Rack-2-09.11,192.168.45.120,OFF,Prod,P3,VM,Ubuntu 16.4.6,R2/06/HP/ESXI/Linux/Ubuntu_Testing_Server_DB_Ramesh,4,4GB,104GB,1,UP,
140,Rack-2-09.12,192.168.46.40/192.168.122.1,OFF,NA,NA,VM,Cent OS ,R2/10/TYRON/ESXI/Linux/DB storage46.40,4,8GB,508GB,1,UP,
141,Rack-2-09.13,192.16.45.121,OFF,NA,NA,VM,Ubuntu Linux,R2/10/TYRON/ESXI/Linux/Jira Prod_45.121,8,256GB,288GB,1,UP,
142,Rack-2-09.14,192.168.45.118,OFF,NA,NA,VM,Cent OS ,R2/10/TYRON/ESXI/Linux/Nextcloud_45.118,4,8GB,2TB,1,UP,
143,Rack-2-09.15,192.168.45.209,OFF,NA,NA,VM,Windows 7,R2/10/TYRON/ESXI/Win/ERP Dashboard Reporting Server,1,1GB,31GB,1,UP,
144,Rack-2-09.16,192.168.45.31,OFF,NA,NA,VM,Windows 7 Professional,R2/10/TYRON/ESXI/Win/HMRI Dashboard App Server_45.204,4,4GB,313GB,1,Down,
145,Rack-2-09.17,OFF,OFF,NA,NA,VM,Ubuntu 18,R2/10/TYRON/ESXI/Win/Mobile Dev Server_45.183_bkp copy,2,8GB,308GB,1,Down,
146,Rack-2-09.18,192.168.45.157,OFF,NA,NA,VM,Winows server 2012 (64-bit),R2/10/TYRONE/ESXI/WIN/Biometric_45.157,4,2GB,1TB,1,Down,
147,Rack-2-09.19,192.168.45.115,OFF,NA,NA,VM,Windows 2016 STD,R2/10/TYRONE/ESXI/WIN/Tableau Reports 45.115,16,16GB,512GB,1,UP,
148,Rack-2-09.20,192.168.45.73,OFF,NA,NA,VM,Windows 2016 STD,Sanofi_MUFG_Server,2,16GB,266GB,1,UP,
149,Rack-2-09.21,192.16.45.178,OFF,NA,NA,VM,Windows 2016 STD,STFC AMRIT,4,24GB,254GB,1,UP,
150,Rack-2-10,192.168.46.88,OFF,NA,NA,Physical,Windows 2016 STD,,Intel®  Xeon®C25430 CPU @2.66GHz,8GB,300GB*6,4,UP,UP
151,Rack-2-11,192.168.45.189,OFF,NA,NA,Physical,Windows 2016 STD,,Intel®  Xeon®CE5430 CPU @2.66GHz,8GB,300GB*6,4,UP,UP
152,Rack-3-01,192.168.35.218,ON,Prod,P1,Physical,Windows 2016 STD,NACO Application Live,Intel®  Xeon® silver 4114 CPU @2.20GHz,128GB,2.4TB*6,4,UP,Down
153,Rack-3-02,192.168.46.99,OFF,NA,NA,Physical,VM-ESXI 6.0.3-5572656-NEC-6.0.3,,Intel®  Xeon® silver 4114 CPU @2.20GHz,128GB,2.4TB*6,4,UP,UP
154,Rack-3-03,Testing,OFF,NA,NA,Physical,Centos 8,,Intel®  Xeon® E5-2609 CPU@2.4GHz,32GB,6*1TB,4,UP,Down
155,Rack-3-04,DB,OFF,NA,NA,Physical,Windows 2016 STD,,Intel®  Xeon® E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,UP,Down
156,Rack-3-05,OFF,OFF,NA,NA,Physical,OFF,,Intel®  Xeon® silver 4114 CPU @2.20GHz,64GB,600 GB*2 4TB*1,4,UP,Down
157,Rack-3-06,NO IP,OFF,NA,NA,Physical,Windows 2016 STD,,Intel®  Xeon® E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,Down,Down
158,Rack-3-07,NO IP,OFF,NA,NA,Physical,Windows 2016 STD,,Intel®  Xeon® E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,Down,Down
159,Rack-3-08,NO IP,OFF,NA,NA,Physical,Windows 2016 STD,,Intel®  Xeon® E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,Down,Down
160,Rack-3-09,NO IP,OFF,NA,NA,Physical,Windows 2016 STD,,Intel®  Xeon® E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,Down,Down
161,Rack-3-10,192.168.35.109,ON,Prod,P1,Physical,Windows 2016 STD,Araku ,Intel®  Xeon®CPU E5-2609 0 @2.40GHz,2B,300GB*5,4,UP,Down
162,Rack-3-11,192.168.46.99,ON,Host,NA,Physical,VM-ESXI-6,VMware Esxi,8x2 Intel®  Xeon® Silver 4114 @2.20GHz,64GB,12TB,4,UP,Down
163,Rack-3-11.1,192.168.45.98,OFF,Testing,P3,VM,Cent OS,AMRIT CentOS Testing_Wipro_45.98,1,256MB,504GB,1,Down,
164,Rack-3-11.2,192.168.45.6,OFF,Testing,P3,VM,Windows 2016 STD,AMRIT Wipro Dev Server_45.6,1,4MB,246GB,1,Down,
165,Rack-3-11.3,192.168.45.95,OFF,Testing,P3,VM,Cent OS,AMRIT_CentOS_Wipro_45.95 Bahmni,1,4MB,508GB,1,Down,
166,Rack-3-11.4,192.168.45.66,OFF,Testing,P3,VM,Windows 2016 STD,AMRIT_CI/CD_Testing Server_45.66,1,4MB,474GB,1,Down,
